1/2/1999|NINE MILE POINT 1|100|
1/2/1999|NINE MILE POINT 2|100|
1/2/1999|OYSTER CREEK 1|100|
1/2/1999|PEACH BOTTOM 2|65|REDUCED POWER FOR REPAIRS TO #3 CONTROL VALVE
1/2/1999|PEACH BOTTOM 3|100|
1/2/1999|PILGRIM 1|100|
1/2/1999|SALEM 1|100|
1/2/1999|SALEM 2|100|
1/2/1999|SEABROOK 1|100|
1/2/1999|SUSQUEHANNA 1|100|
1/2/1999|SUSQUEHANNA 2|100|
1/2/1999|THREE MILE ISLAND 1|100|
1/2/1999|VERMONT YANKEE 1|100|
1/2/1999|BROWNS FERRY 1|0|DEFUELED
1/2/1999|BROWNS FERRY 2|100|
1/2/1999|BROWNS FERRY 3|100|
1/2/1999|BRUNSWICK 1|100|
1/2/1999|BRUNSWICK 2|100|
1/2/1999|CATAWBA 1|100|
1/2/1999|CATAWBA 2|100|
1/2/1999|CRYSTAL RIVER 3|100|
1/2/1999|FARLEY 1|87|INCREASING POWER TO 90% FOR CALORIMETRIC
1/2/1999|FARLEY 2|100|
1/2/1999|HARRIS 1|100|
1/2/1999|HATCH 1|100|
1/2/1999|HATCH 2|98|Power is limited by turbine since reactor power uprate.
1/2/1999|MCGUIRE 1|100|
1/2/1999|MCGUIRE 2|100|
1/2/1999|NORTH ANNA 1|100|
1/2/1999|NORTH ANNA 2|100|
1/2/1999|OCONEE 1|100|
1/2/1999|OCONEE 2|100|
1/2/1999|OCONEE 3|15|PREPARING TO PLACE TURBINE GENERATOR ONLINE
1/2/1999|ROBINSON 2|100|
1/2/1999|SAINT LUCIE 1|100|
1/2/1999|SAINT LUCIE 2|100|
1/2/1999|SEQUOYAH 1|100|
1/2/1999|SEQUOYAH 2|100|
1/2/1999|SUMMER 1|100|
1/2/1999|SURRY 1|100|
1/2/1999|SURRY 2|100|
1/2/1999|TURKEY POINT 3|100|
1/2/1999|TURKEY POINT 4|100|
1/2/1999|VOGTLE 1|100|
1/2/1999|VOGTLE 2|100|
1/2/1999|WATTS BAR 1|84|REDUCING POWER TO 65% FOR REPAIR OF CONDENSER WATERBOX TUBE LEAK
1/2/1999|BRAIDWOOD 1|100|
1/2/1999|BRAIDWOOD 2|100|
1/2/1999|BYRON 1|100|
1/2/1999|BYRON 2|100|
1/2/1999|CLINTON 1|0|REFUELING OUTAGE
1/2/1999|COOK 1|0|MAINTENANCE OUTAGE
1/2/1999|COOK 2|0|REFUELING OUTAGE
1/2/1999|DAVIS BESSE 1|100|
1/2/1999|DRESDEN 2|99|
1/2/1999|DRESDEN 3|99|
1/2/1999|DUANE ARNOLD 1|100|
1/2/1999|FERMI 2|96|ADMINISTRATIVE POWER LIMIT
1/2/1999|KEWAUNEE 1|95|POWER LIMITED DUE TO STEAM GENERATOR TUBE PLUGGING
1/2/1999|LASALLE 1|100|
1/2/1999|LASALLE 2|0|REFUELING OUTAGE - DEFUELED
1/2/1999|MONTICELLO 1|100|
